300
('O', (4, 2), (3, 2)), 294.00182119300007
('X', (3, 4), (3, 3)), 294.00013650999995
('X', (3, 5), (4, 5)), 288.00195382699997
('O', (4, 4), (4, 3)), 287.999867138
('O', (2, 4), (2, 5)), 282.00168272999997
('O', (2, 2), (2, 3)), 281.999599461
('O', (1, 2), (1, 3)), 276.000915461
('X', (3, 4), (2, 4)), 275.99930886799996
('X', (5, 4), (5, 3)), 270.00122054400003
('O', (1, 1), (2, 1)), 269.999027875
('O', (0, 1), (1, 1)), 264.00099589399997
('O', (0, 5), (1, 5)), 263.998219566
('X', (3, 4), (3, 5)), 258.000730319
('X', (5, 4), (5, 5)), 257.997904339
('O', (0, 4), (0, 5)), 252.00137858800008
('O', (0, 3), (0, 2)), 251.99765932499997
('O', (0, 4), (1, 4)), 246.00104919700004
('X', (4, 4), (3, 4)), 245.9980763079999
('X', (5, 4), (4, 4)), 240.00078903100007
('O', (0, 3), (0, 4)), 239.99785304099987
('X', (5, 2), (4, 2)), 234.0005657370001
('X', (5, 1), (4, 1)), 233.99815818199988
('X', (5, 2), (5, 1)), 228.00032312700012
('X', (5, 4), (2, 2)), 233.99745322199988
