300
('O', (2, 3), (3, 3)), 299
('X', (0, 4), (0, 5)), 298
('X', (0, 1), (0, 0)), 297
('O', (0, 3), (0, 4)), 296
('X', (0, 2), (0, 1)), 295
('O', (1, 3), (2, 3)), 294
('X', (3, 2), (2, 2)), 293
('O', (1, 4), (1, 5)), 291
('X', (5, 2), (4, 2)), 290
('O', (1, 3), (0, 3)), 288
('O', (1, 2), (0, 2)), 287
('X', (5, 1), (4, 1)), 286
('O', (1, 0), (1, 1)), 285
('X', (5, 4), (5, 5)), 284
('X', (1, 4), (1, 3)), 283
('X', (2, 4), (3, 4)), 281
('O', (2, 0), (3, 0)), 279
('O', (2, 1), (2, 0)), 278
('O', (2, 5), (5, 1)), 277
('O', (2, 1), (5, 2)), 276
('X', (2, 5), (2, 4)), 275
('O', (4, 4), (4, 3)), 274
('X', (2, 1), (4, 5)), 273
('X', (2, 5), (4, 0)), 272
('O', (5, 4), (5, 3)), 271
