60
('O', (3, 2), (4, 2)), 58.553904417029116
('O', (1, 2), (0, 2)), 59.999878750008065
('O', (2, 2), (3, 2)), 57.06916650000494
('X', (5, 3), (5, 2)), 59.999781875056215
('O', (2, 3), (3, 3)), 56.37525516701862
('O', (2, 2), (2, 3)), 59.999706875009
('O', (1, 2), (1, 3)), 56.251720251049846
('O', (1, 0), (2, 0)), 59.99962379201315
('O', (1, 1), (0, 1)), 56.14389337605098
('O', (2, 1), (1, 1)), 59.999550459033344
('O', (3, 1), (4, 1)), 56.07562695903471
('X', (4, 3), (5, 3)), 59.99950554303359
('X', (4, 4), (3, 4)), 56.061393124982715
('X', (4, 5), (5, 5)), 59.99946075101616
('O', (2, 1), (3, 1)), 56.05794083297951
