60
('O', (3, 2), (4, 2)), 58.55148087500129
('X', (2, 3), (2, 4)), 59.999815249990206
('O', (3, 3), (4, 3)), 57.519664208986796
('X', (2, 2), (1, 2)), 59.99973849998787
('O', (3, 4), (3, 5)), 56.86140254198108
('O', (4, 4), (3, 4)), 59.99966116598807
('O', (5, 4), (5, 5)), 56.71938400098588
('X', (2, 3), (3, 3)), 59.99960595695302
('O', (5, 1), (5, 2)), 56.34554741700413
('O', (0, 1), (0, 0)), 59.99953295697924
('O', (1, 1), (2, 1)), 56.013585624983534
('X', (0, 3), (1, 3)), 59.99946624896256
('O', (1, 0), (2, 0)), 55.991945957997814
('X', (0, 1), (1, 1)), 59.99941949895583
('X', (0, 4), (1, 4)), 55.9814745420008
