60
('O', (3, 2), (4, 2)), 58.5247973339865
('X', (5, 3), (4, 3)), 59.99986424995586
('O', (3, 3), (3, 4)), 58.04537350102328
('O', (1, 3), (1, 2)), 59.99979008396622
('O', (2, 3), (3, 3)), 57.73291895998409
('X', (5, 4), (4, 4)), 59.99973979295464
('O', (2, 4), (2, 5)), 57.45962666795822
('O', (2, 0), (2, 1)), 59.99966687592678
('O', (3, 0), (4, 0)), 57.399888459942304
('X', (5, 2), (5, 3)), 59.99962083395803
('O', (3, 1), (4, 1)), 57.250102750898805
('O', (3, 0), (3, 1)), 59.99955087492708
('O', (1, 0), (1, 1)), 57.226254125882406
